test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,M_group,steps_ahead,R_t,RF_t,ER_t
2020-03-28,1,6000,6117.28,737.13,27,0.980828080454058,0.583158375623659,1.0405,3e-4,0,70960.448,11.6,7477.6,1477.6000000000004,1.004531086782522,0.98,-0.01917191954594199,0,"(-0.1,0.15]",27,1.004531086782522,3.606525032791019e-4,1.0041704342792428
2020-03-28,1,6000,6092.21,728.02,27,0.984864277495359,0.57774491609492,1.0483,3e-4,0,64577.426,10.6,7477.6,1477.6000000000004,1.0296145710282691,0.98,-0.01513572250464101,0,"(-0.1,0.15]",27,1.0296145710282691,3.606525032791019e-4,1.02925391852499
2020-03-28,1,6000,6088.84,730.66,27,0.985409371900066,0.57730608687636,1.0577,3e-4,0,3044.42,0.5,7477.6,1477.6000000000004,1.022281225193661,0.98,-0.01459062809993405,0,"(-0.1,0.15]",27,1.022281225193661,3.606525032791019e-4,1.021920572690382
2020-03-28,1,6000,6107.39,732.89,27,0.982416384085509,0.581041440047678,1.0444,3e-4,0,30536.95,5,7477.6,1477.6000000000004,1.0161279318860954,0.98,-0.01758361591449098,0,"(-0.1,0.15]",27,1.0161279318860954,3.606525032791019e-4,1.0157672793828163
2020-03-28,1,6000,6119.8,734.38,27,0.980424196869179,0.583600692880234,1.0358,3e-4,0,4895.84,0.8,7477.6,1477.6000000000004,1.0120373648519845,0.98,-0.01957580313082096,0,"(-0.1,0.15]",27,1.0120373648519845,3.606525032791019e-4,1.0116767123487054
2020-03-28,1,6000,6218.44,755.54,27,0.96487221875583,0.605466736602906,0.9918,3e-4,0,3109.22,0.5,7477.6,1477.6000000000004,0.955687322974297,0.96,-0.03512778124417004,0,"(-0.1,0.15]",27,0.955687322974297,3.606525032791019e-4,0.9553266704710179
2020-03-28,1,6000,6264.07,808.07,27,0.957843702257478,0.615674697908903,1.0144,3e-4,0,125907.807,20.1,7477.6,1477.6000000000004,0.8285544569158616,0.95,-0.04215629774252205,0,"(-0.1,0.15]",27,0.8285544569158616,3.606525032791019e-4,0.8281938044125825
2020-03-28,1,6000,6259.02,807.41,27,0.958616524631651,0.614533600584611,1.0187,3e-4,0,62590.2,10,7477.6,1477.6000000000004,0.8300491695668872,0.95,-0.04138347536834896,0,"(-0.1,0.15]",27,0.8300491695668872,3.606525032791019e-4,0.8296885170636081
2020-03-28,1,6000,6259.32,810.58,27,0.958570579551772,0.61457923106282,1.0227,3e-4,0,62593.2,10,7477.6,1477.6000000000004,0.822892249993832,0.95,-0.04142942044822795,0,"(-0.1,0.15]",27,0.822892249993832,3.606525032791019e-4,0.8225315974905529
2020-03-28,1,6000,6259.39,810.59,27,0.958559859666837,0.61459509708406,1.0226,3e-4,0,625.939,0.1,7477.6,1477.6000000000004,0.8228697615317242,0.95,-0.04144014033316301,0,"(-0.1,0.15]",27,0.8228697615317242,3.606525032791019e-4,0.8225091090284451
2020-03-28,1,6000,6243.5,771.07,27,0.960999439416994,0.611180808658252,0.9946,3e-4,0,3121.75,0.5,7477.6,1477.6000000000004,0.9162981311683768,0.96,-0.03900056058300605,0,"(-0.1,0.15]",27,0.9162981311683768,3.606525032791019e-4,0.9159374786650977
2020-03-28,1,6000,6105.03,689.87,27,0.982796153335856,0.579028942909193,0.9935,3e-4,0,6105.03,1,7477.6,1477.6000000000004,1.141852812848798,0.98,-0.01720384666414398,0,"(-0.1,0.15]",27,1.141852812848798,3.606525032791019e-4,1.1414921603455188
2020-03-28,1,6000,6119.21,697.59,27,0.980518727090589,0.582344798980519,0.9919,3e-4,0,6119.21,1,7477.6,1477.6000000000004,1.1181496294384958,0.98,-0.01948127290941104,0,"(-0.1,0.15]",27,1.1181496294384958,3.606525032791019e-4,1.1177889769352167
2020-03-28,1,6000,6112.98,690.77,27,0.981518015763179,0.580782479756343,0.9885,3e-4,0,9169.47,1.5,7477.6,1477.6000000000004,1.139062205944092,0.98,-0.01848198423682101,0,"(-0.1,0.15]",27,1.139062205944092,3.606525032791019e-4,1.138701553440813
2020-03-28,1,6000,6124.07,698.14,27,0.979740597347842,0.583454041127951,0.9902,3e-4,0,12248.14,2,7477.6,1477.6000000000004,1.1164809350560063,0.97,-0.02025940265215797,0,"(-0.1,0.15]",27,1.1164809350560063,3.606525032791019e-4,1.1161202825527272
2020-03-28,1,6000,6149.1,713.3,27,0.975752549153535,0.589370880421532,0.9912,3e-4,0,6149.1,1,7477.6,1477.6000000000004,1.0714986681620644,0.97,-0.02424745084646495,0,"(-0.1,0.15]",27,1.0714986681620644,3.606525032791019e-4,1.0711380156587853
2020-03-28,1,6000,6264.07,808.07,27,0.957843702257478,0.615674697908903,1.0144,3e-4,0,125907.807,20.1,7477.6,1477.6000000000004,0.8285544569158616,0.95,-0.04215629774252205,0,"(-0.1,0.15]",27,0.8285544569158616,3.606525032791019e-4,0.8281938044125825
2020-03-28,1,6000,6259.02,807.41,27,0.958616524631651,0.614533600584611,1.0187,3e-4,0,62590.2,10,7477.6,1477.6000000000004,0.8300491695668872,0.95,-0.04138347536834896,0,"(-0.1,0.15]",27,0.8300491695668872,3.606525032791019e-4,0.8296885170636081
2020-03-28,1,6000,6259.32,810.58,27,0.958570579551772,0.61457923106282,1.0227,3e-4,0,62593.2,10,7477.6,1477.6000000000004,0.822892249993832,0.95,-0.04142942044822795,0,"(-0.1,0.15]",27,0.822892249993832,3.606525032791019e-4,0.8225315974905529
2020-03-28,1,6000,6259.39,810.59,27,0.958559859666837,0.61459509708406,1.0226,3e-4,0,625.939,0.1,7477.6,1477.6000000000004,0.8228697615317242,0.95,-0.04144014033316301,0,"(-0.1,0.15]",27,0.8228697615317242,3.606525032791019e-4,0.8225091090284451
2020-03-28,1,6000,6218.44,755.54,27,0.96487221875583,0.605466736602906,0.9918,3e-4,0,3109.22,0.5,7477.6,1477.6000000000004,0.955687322974297,0.96,-0.03512778124417004,0,"(-0.1,0.15]",27,0.955687322974297,3.606525032791019e-4,0.9553266704710179
2020-03-28,1,6000,6066.24,679.42,27,0.989080550720051,0.57041024591937906,1.0102,3e-4,0,6066.24,1,7477.6,1477.6000000000004,1.1747961496570611,0.98,-0.01091944927994903,0,"(-0.1,0.15]",27,1.1747961496570611,3.606525032791019e-4,1.174435497153782
2020-03-28,1,6000,6243.5,771.07,27,0.960999439416994,0.611180808658252,0.9946,3e-4,0,3121.75,0.5,7477.6,1477.6000000000004,0.9162981311683768,0.96,-0.03900056058300605,0,"(-0.1,0.15]",27,0.9162981311683768,3.606525032791019e-4,0.9159374786650977
2020-03-28,1,6000,6208.32,776.04,27,0.966445028606773,0.603272051625581,1.0204,3e-4,0,12416.64,2,7477.6,1477.6000000000004,0.9040255656924908,0.96,-0.03355497139322705,0,"(-0.1,0.15]",27,0.9040255656924908,3.606525032791019e-4,0.9036649131892117
2020-03-28,1,6000,6117.28,737.13,27,0.980828080454058,0.583158375623659,1.0405,3e-4,0,70960.448,11.6,7477.6,1477.6000000000004,1.004531086782522,0.98,-0.01917191954594199,0,"(-0.1,0.15]",27,1.004531086782522,3.606525032791019e-4,1.0041704342792428
2020-03-28,1,6000,6092.21,728.02,27,0.984864277495359,0.57774491609492,1.0483,3e-4,0,64577.426,10.6,7477.6,1477.6000000000004,1.0296145710282691,0.98,-0.01513572250464101,0,"(-0.1,0.15]",27,1.0296145710282691,3.606525032791019e-4,1.02925391852499
2020-03-28,1,6000,6088.84,730.66,27,0.985409371900066,0.57730608687636,1.0577,3e-4,0,3044.42,0.5,7477.6,1477.6000000000004,1.022281225193661,0.98,-0.01459062809993405,0,"(-0.1,0.15]",27,1.022281225193661,3.606525032791019e-4,1.021920572690382
2020-03-28,1,6000,6107.39,732.89,27,0.982416384085509,0.581041440047678,1.0444,3e-4,0,30536.95,5,7477.6,1477.6000000000004,1.0161279318860954,0.98,-0.01758361591449098,0,"(-0.1,0.15]",27,1.0161279318860954,3.606525032791019e-4,1.0157672793828163
