Date,Open,High,Low,Close,Adj Close,Volume
2012-06-08,758.440002,770.070007,754.719971,769.190002,769.190002,3497190000
2012-06-11,775.799988,776.630005,750.969971,751.010010,751.010010,3537530000
2012-06-12,754.429993,761.690002,748.530029,761.530029,761.530029,3442920000
2012-06-13,759.510010,763.989990,749.809998,752.380005,752.380005,3506510000
2012-06-14,753.210022,762.880005,751.859985,762.340027,762.340027,3687720000
2012-06-15,761.890015,772.070007,761.239990,771.320007,771.320007,4401570000
2012-06-18,766.919983,774.809998,764.700012,772.530029,772.530029,3259430000
2012-06-19,775.549988,789.510010,775.549988,786.429993,786.429993,3815350000
2012-06-20,786.030029,789.219971,780.530029,784.049988,784.049988,3695700000
2012-06-21,784.659973,784.700012,764.309998,764.830017,764.830017,4094470000
2012-06-22,768.969971,775.929993,766.210022,775.159973,775.159973,5271490000
