test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,BuyPremium_t,SellPremium_th,BuySpot_t,SellSpot_th,M_group,steps_ahead,R_t,RF_t,ER_t
2020-03-28,-1,3500,6108.23,76.35,27,0.572997414963091,0.999965253513866,1.5033,3e-4,0,305411.5,50,7477.6,0,-1,0.57,-0.427002585036909,0,76.35,0,6108.23,7477.6,"(-0.5,-0.1]",27,0.20907107553801269,3.747968745786423e-4,0.20869627866343404
2020-03-28,-1,4000,6229.32,102.78,27,0.642124662081897,0.999834057721569,1.3568,3e-4,0,622.932,0.1,7477.6,0,-1,0.64,-0.357875337918103,0,102.78,0,6229.32,7477.6,"(-0.5,-0.1]",27,0.1809004683680507,3.747968745786423e-4,0.18052567149347207
2020-03-28,-1,4000,6208.89,124.18,27,0.644237536822202,0.999929437406927,1.442,3e-4,0,18626.67,3,7477.6,0,-1,0.64,-0.355762463177798,0,124.18,0,6208.89,7477.6,"(-0.5,-0.1]",27,0.18072114365462527,3.747968745786423e-4,0.18034634678004663
2020-03-28,-1,4000,6209.89,111.78,27,0.64413379303015,0.99988784861943,1.3965,3e-4,0,1862.967,0.3,7477.6,0,-1,0.64,-0.35586620696985005,0,111.78,0,6209.89,7477.6,"(-0.5,-0.1]",27,0.1828496536201281,3.747968745786423e-4,0.18247485674554945
2020-03-28,-1,4000,6232.13,118.41,27,0.641835135018044,0.999917413014545,1.4265,3e-4,0,6232.13,1,7477.6,0,-1,0.64,-0.358164864981956,0,118.41,0,6232.13,7477.6,"(-0.5,-0.1]",27,0.17747285811832672,3.747968745786423e-4,0.17709806124374808
2020-03-28,-1,4000,6229.32,102.78,27,0.642124662081897,0.999834057721569,1.3568,3e-4,0,622.932,0.1,7477.6,0,-1,0.64,-0.357875337918103,0,102.78,0,6229.32,7477.6,"(-0.5,-0.1]",27,0.1809004683680507,3.747968745786423e-4,0.18052567149347207
2020-03-28,-1,4000,6232.13,118.41,27,0.641835135018044,0.999917413014545,1.4265,3e-4,0,6232.13,1,7477.6,0,-1,0.64,-0.358164864981956,0,118.41,0,6232.13,7477.6,"(-0.5,-0.1]",27,0.17747285811832672,3.747968745786423e-4,0.17709806124374808
2020-03-28,-1,4000,6208.89,124.18,27,0.644237536822202,0.999929437406927,1.442,3e-4,0,18626.67,3,7477.6,0,-1,0.64,-0.355762463177798,0,124.18,0,6208.89,7477.6,"(-0.5,-0.1]",27,0.18072114365462527,3.747968745786423e-4,0.18034634678004663
2020-03-28,-1,4000,6209.89,111.78,27,0.64413379303015,0.99988784861943,1.3965,3e-4,0,1862.967,0.3,7477.6,0,-1,0.64,-0.35586620696985005,0,111.78,0,6209.89,7477.6,"(-0.5,-0.1]",27,0.1828496536201281,3.747968745786423e-4,0.18247485674554945
2020-03-28,-1,4500,6260.05,172.15,27,0.718844098689308,0.999660131767281,1.2883,3e-4,0,31300.25,5,7477.6,0,-1,0.71,-0.281155901310692,0,172.15,0,6260.05,7477.6,"(-0.5,-0.1]",27,0.16251546283589205,3.747968745786423e-4,0.1621406659613134
