test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,BuyPremium_t,SellPremium_th,SellSpot_t,BuySpot_th,M_group,steps_ahead,R_t,RF_t,ER_t
2020-07-04,1,9250,9089.9,389.3645,27,1.01763035129679,0.884712605285531,0.458335,0.0014,0,986307.812,108.6,11114.93,1864.9300000000003,3.789676511340916,1.01,0.01763035129678991,1,389.3645,1864.9300000000003,9089.9,11114.93,"(-0.1,0.15]",27,-0.04129376977237293,5.710970113459446e-4,-0.041864866783718875
2020-07-04,1,9500,9107.02625,302.935,27,1.04317730688837,0.88494585645215,0.46285,0.0014,0,513069.876,56.2,11114.93,1614.9300000000003,4.330945582385661,1.04,0.04317730688837007,1,302.935,1614.9300000000003,9107.02625,11114.93,"(-0.1,0.15]",27,-0.05993730186132618,5.710970113459446e-4,-0.06050839887267213
2020-07-04,1,9750,9091.25333333333,213.678888888889,27,1.0724686605004,0.878784035086917,0.455266666666667,0.0014,0,573913.18,63,11114.93,1364.9300000000003,5.387762530484474,1.07,0.0724686605003999,1,213.678888888889,1364.9300000000003,9091.25333333333,11114.93,"(-0.1,0.15]",27,-0.08065308191884477,5.710970113459446e-4,-0.08122417893019071
2020-07-04,1,10000,9098.96166666667,161.565555555556,27,1.09904546804733,0.880316655656952,0.462244444444445,0.0014,0,873379.636,96,11114.93,1114.9300000000003,5.900790184926638,1.09,0.09904546804733004,1,161.565555555556,1114.9300000000003,9098.96166666667,11114.93,"(-0.1,0.15]",27,-0.10464882685983573,5.710970113459446e-4,-0.10521992387118168
2020-08-29,1,10500,11466.0125,1305.715,27,0.915753300107597,0.930585037430622,0.55445,0.001,0,139711.696,12.2,10732.43,232.4300000000003,-0.8219902505523791,0.91,-0.08424669989240297,1,1305.715,232.4300000000003,11466.0125,10732.43,"(-0.1,0.15]",27,-0.041713803467323146,5.710970113459446e-4,-0.04228490047866909
2020-08-29,1,11000,11474.2723076923,952.381538461538,27,0.958673101843062,0.919155418296902,0.529084615384615,0.001,0,980754.96,85.6,10732.43,0,-1,0.95,-0.04132689815693802,1,952.381538461538,0,11474.2723076923,10732.43,"(-0.1,0.15]",27,-0.028195318610658625,5.710970113459446e-4,-0.02876641562200457
2020-08-29,1,11500,11484.3335483871,682.596129032258,27,1.00136861636697,0.91456478709101,0.523522580645161,0.001,0,3543219.86,308.8,10732.43,0,-1,1,0.00136861636696994,1,682.596129032258,0,11484.3335483871,10732.43,"(-0.1,0.15]",27,5.160982638999948e-4,5.710970113459446e-4,-5.4998747445949756e-5
2020-08-29,1,12000,11512.7922580645,476.702903225806,27,1.04233298720912,0.909686866131341,0.517541935483871,0.001,0,2207040.644,192,10732.43,0,-1,1.04,0.04233298720912004,1,476.702903225806,0,11512.7922580645,10732.43,"(-0.1,0.15]",27,0.02332679329609984,5.710970113459446e-4,0.022755696284753896
2020-08-29,1,12500,11454.9666666667,305.463333333333,27,1.09123035849162,0.910499374606839,0.525833333333333,0.001,0,96159.568,8.4,10732.43,0,-1,1.09,0.09123035849162008,1,305.463333333333,0,11454.9666666667,10732.43,"(-0.1,0.15]",27,0.03480800277217194,5.710970113459446e-4,0.034236905760826
2020-08-29,1,13000,11522.3623809524,222.800476190476,27,1.12825444760646,0.913388093211208,0.537233333333333,0.001,0,1826033.894,158.2,10732.43,0,-1,1.12,0.12825444760646,1,222.800476190476,0,11522.3623809524,10732.43,"(-0.1,0.15]",27,0.04841140499943602,5.710970113459446e-4,0.047840307988090074
