Date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster
2019-11-30,-1,7000,7545.56,260.32,27,0.927697877957368,0.962684436339599,0.6276,0.0156,0,15091.12,2,7194.4,0,-1,0.92,-0.07230212204263198,1
2019-11-30,-1,7000,7774.3,209.91,27,0.900402608594986,0.965425674738602,0.6385,0.0156,0,10884.02,1.4,7194.4,0,-1,0.9,-0.099597391405014,1
2019-11-30,-1,7000,7709.96,208.17,27,0.907916513185542,0.961118974474411,0.6167,0.0156,0,770.996,0.1,7194.4,0,-1,0.9,-0.092083486814458,1
2019-11-30,-1,7500,7656.07,401.94,27,0.979614867680154,0.953318096495907,0.5904,0.0156,0,3828.035,0.5,7194.4,305.60000000000036,-0.23968751554958356,0.97,-0.020385132319845956,1
2019-11-30,-1,7500,7743.31,375.55,27,0.968578037041007,0.956112138021855,0.6013,0.0156,0,7743.31,1,7194.4,305.60000000000036,-0.1862601517773922,0.96,-0.03142196295899302,1
2019-11-30,-1,7500,7511.09,495.73,27,0.99852351656018,0.96211072938981,0.6341,0.0156,0,7511.09,1,7194.4,305.60000000000036,-0.3835353922498127,0.99,-0.0014764834398199866,1
2019-11-30,-1,7500,7744.34,391.09,27,0.968449215814388,0.96017204956657,0.6205,0.0156,0,7744.34,1,7194.4,305.60000000000036,-0.2185941854816017,0.96,-0.03155078418561197,1
2019-11-30,-1,7500,7555.82,468.46,27,0.992612317392421,0.960822641456812,0.6269,0.0156,0,3777.91,0.5,7194.4,305.60000000000036,-0.3476497459761765,0.99,-0.007387682607579049,1
2019-11-30,-1,7500,7689.24,411.37,27,0.975388985127269,0.960104214321411,0.6211,0.0156,0,30756.96,4,7194.4,305.60000000000036,-0.2571164644966809,0.97,-0.024611014872730985,1
2019-11-30,-1,7500,7655.06,421.03,27,0.979744116963159,0.959055009284895,0.6166,0.0156,0,765.506,0.1,7194.4,305.60000000000036,-0.27416098615300477,0.97,-0.020255883036841005,1
